"drug","alert","rate","ratefill","ratecat","class1"
"Drospirenone","bleeding",4.33282120762,4.33282120762,1,1
"fluconazole","bleeding",0.286659694999,0.286659694999,0,0
"ipilimumab","bleeding",1.55864918554,1.55864918554,1,0
"lenalidomide","bleeding",0.798580745403,0.798580745403,0,0
"linezolid","bleeding",0.437226173007,0.437226173007,0,0
"Liquid Acetaminophen","bleeding",NULL,0,0,0
"liraglutide","bleeding",NULL,0,0,0
"ondansetron","bleeding",0.178390860725,0.178390860725,0,0
"peginesatide","bleeding",NULL,0,0,0
"pramipexole","bleeding",0.20662654971,0.20662654971,0,0
"Proton Pump Inhibitors","bleeding",NULL,0,0,0
"rosiglitazone","bleeding",0.214613994648,0.214613994648,0,0
"Selective Serotonin Reuptake Inhibitor","bleeding",0.36327747792,0.36327747792,0,1
"sodium oxybate","bleeding",0.110533840467,0.110533840467,0,0
"telaprevir","bleeding",0.159337376775,0.159337376775,0,0
"tolvaptan","bleeding",0.955563388819,0.955563388819,0,1
"topiramate","bleeding",0.20368408854,0.20368408854,0,0
"valproate","bleeding",0.470219574798,0.470219574798,0,0
"varenicline","bleeding",0.0739426616114,0.0739426616114,0,0
"zoledronic acid","bleeding",0.196948621182,0.196948621182,0,0
"ibuprofen","bleeding",2.29516021877,2.29516021877,1,1
"acetaminophen","bleeding",0.829591885113,0.829591885113,0,0
"aspirin","bleeding",5.65814665296,5.65814665296,1,1
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","cancer",0.234338309474,0.234338309474,0,1
"5-alpha reductase inhibitors","cancer",1.51246508431,1.51246508431,1,1
"Abacavir","cancer",0.086914731895,0.086914731895,0,0
"aliskiren","cancer",0.141748521318,0.141748521318,0,0
"Antipsychotics","cancer",0.245136653457,0.245136653457,0,0
"asenapine","cancer",NULL,0,0,0
"Azithromycin","cancer",0.141662795748,0.141662795748,0,0
"benzocaine","cancer",0.325369096314,0.325369096314,0,0
"bisphosphonates","cancer",1.86529944799,1.86529944799,1,1
"boceprevir","cancer",0.164380967052,0.164380967052,0,0
"brentuximab","cancer",6.05814020461,6.05814020461,1,0
"citalopram","cancer",0.132137237883,0.132137237883,0,0
"dabigatran","cancer",0.123023124811,0.123023124811,0,0
"dalfampridine","cancer",0.242736286561,0.242736286561,0,0
"dasatinib","cancer",5.50271110075,5.50271110075,1,0
"dronedarone","cancer",0.107707776599,0.107707776599,0,0
"Drospirenone","cancer",0.594482788125,0.594482788125,0,0
"fluconazole","cancer",1.08263506874,1.08263506874,1,0
"ipilimumab","cancer",5.80684751393,5.80684751393,1,0
"lenalidomide","cancer",5.18292356106,5.18292356106,1,1
"linezolid","cancer",0.371141538087,0.371141538087,0,0
"Liquid Acetaminophen","cancer",0.297407242401,0.297407242401,0,0
"liraglutide","cancer",0.416778565527,0.416778565527,0,1
"ondansetron","cancer",2.489266714,2.489266714,1,0
"peginesatide","cancer",1.21161253961,1.21161253961,1,0
"pramipexole","cancer",0.0895840146393,0.0895840146393,0,0
"Proton Pump Inhibitors","cancer",0.565740719497,0.565740719497,0,0
"rosiglitazone","cancer",0.398491000126,0.398491000126,0,0
"Selective Serotonin Reuptake Inhibitor","cancer",0.131260658077,0.131260658077,0,0
"sodium oxybate","cancer",0.0545463607576,0.0545463607576,0,0
"telaprevir","cancer",0.0950327465768,0.0950327465768,0,0
"tolvaptan","cancer",0.145362061888,0.145362061888,0,0
"topiramate","cancer",0.102459566042,0.102459566042,0,0
"valproate","cancer",0.276308481127,0.276308481127,0,0
"varenicline","cancer",0.473292923999,0.473292923999,0,0
"zoledronic acid","cancer",3.82192277619,3.82192277619,1,1
"ibuprofen","cancer",0.208781761502,0.208781761502,0,0
"acetaminophen","cancer",0.293148503294,0.293148503294,0,0
"aspirin","cancer",0.353614804866,0.353614804866,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","Esophageal Cancer",NULL,0,0,0
"5-alpha reductase inhibitors","Esophageal Cancer",NULL,0,0,0
"Abacavir","Esophageal Cancer",NULL,0,0,0
"aliskiren","Esophageal Cancer",NULL,0,0,0
"Antipsychotics","Esophageal Cancer",0.0626752189896,0.0626752189896,0,0
"asenapine","Esophageal Cancer",NULL,0,0,0
"Azithromycin","Esophageal Cancer",NULL,0,0,0
"benzocaine","Esophageal Cancer",3.2605588697,3.2605588697,1,0
"bisphosphonates","Esophageal Cancer",2.62115487444,2.62115487444,1,1
"boceprevir","Esophageal Cancer",NULL,0,0,0
"brentuximab","Esophageal Cancer",NULL,0,0,0
"citalopram","Esophageal Cancer",NULL,0,0,0
"dabigatran","Esophageal Cancer",NULL,0,0,0
"dalfampridine","Esophageal Cancer",NULL,0,0,0
"dasatinib","Esophageal Cancer",NULL,0,0,0
"dronedarone","Esophageal Cancer",NULL,0,0,0
"Drospirenone","Esophageal Cancer",NULL,0,0,0
"fluconazole","Esophageal Cancer",1.96651310798,1.96651310798,1,0
"ipilimumab","Esophageal Cancer",NULL,0,0,0
"lenalidomide","Esophageal Cancer",NULL,0,0,0
"linezolid","Esophageal Cancer",NULL,0,0,0
"Liquid Acetaminophen","Esophageal Cancer",2.93668545852,2.93668545852,1,0
"liraglutide","Esophageal Cancer",NULL,0,0,0
"ondansetron","Esophageal Cancer",0.472977535385,0.472977535385,0,0
"peginesatide","Esophageal Cancer",NULL,0,0,0
"pramipexole","Esophageal Cancer",NULL,0,0,0
"Proton Pump Inhibitors","Esophageal Cancer",4.27420419209,4.27420419209,1,0
"rosiglitazone","Esophageal Cancer",NULL,0,0,0
"Selective Serotonin Reuptake Inhibitor","Esophageal Cancer",0.0265280157732,0.0265280157732,0,0
"sodium oxybate","Esophageal Cancer",NULL,0,0,0
"telaprevir","Esophageal Cancer",NULL,0,0,0
"tolvaptan","Esophageal Cancer",NULL,0,0,0
"topiramate","Esophageal Cancer",NULL,0,0,0
"valproate","Esophageal Cancer",NULL,0,0,0
"varenicline","Esophageal Cancer",1.79422358383,1.79422358383,1,0
"zoledronic acid","Esophageal Cancer",1.55763076041,1.55763076041,1,1
"ibuprofen","Esophageal Cancer",NULL,0,0,0
"acetaminophen","Esophageal Cancer",0.0821547852311,0.0821547852311,0,0
"aspirin","Esophageal Cancer",0.709898289101,0.709898289101,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","new malignancy",0.482773099282,0.482773099282,0,1
"5-alpha reductase inhibitors","new malignancy",2.81262443873,2.81262443873,1,1
"Abacavir","new malignancy",0.259172163468,0.259172163468,0,0
"aliskiren","new malignancy",3.06485545324,3.06485545324,1,0
"Antipsychotics","new malignancy",0.202947480903,0.202947480903,0,0
"asenapine","new malignancy",NULL,0,0,0
"Azithromycin","new malignancy",0.0841697158246,0.0841697158246,0,0
"benzocaine","new malignancy",0.391466554539,0.391466554539,0,0
"bisphosphonates","new malignancy",3.2658973572,3.2658973572,1,1
"boceprevir","new malignancy",NULL,0,0,0
"brentuximab","new malignancy",18.7532228991,18.7532228991,1,0
"citalopram","new malignancy",0.33932006116,0.33932006116,0,0
"dabigatran","new malignancy",0.425568836359,0.425568836359,0,0
"dalfampridine","new malignancy",2.04601531348,2.04601531348,1,0
"dasatinib","new malignancy",8.70071967148,8.70071967148,1,0
"dronedarone","new malignancy",NULL,0,0,0
"Drospirenone","new malignancy",1.85941137597,1.85941137597,1,0
"fluconazole","new malignancy",1.30389844275,1.30389844275,1,0
"ipilimumab","new malignancy",18.8424903364,18.8424903364,1,0
"lenalidomide","new malignancy",13.1509331174,13.1509331174,1,1
"linezolid","new malignancy",0.243182192205,0.243182192205,0,0
"Liquid Acetaminophen","new malignancy",0.667231155374,0.667231155374,0,0
"liraglutide","new malignancy",1.84113895874,1.84113895874,1,1
"ondansetron","new malignancy",3.30213883863,3.30213883863,1,0
"peginesatide","new malignancy",NULL,0,0,0
"pramipexole","new malignancy",0.475898667211,0.475898667211,0,0
"Proton Pump Inhibitors","new malignancy",0.678167696664,0.678167696664,0,0
"rosiglitazone","new malignancy",0.579891141563,0.579891141563,0,0
"Selective Serotonin Reuptake Inhibitor","new malignancy",0.113940651646,0.113940651646,0,0
"sodium oxybate","new malignancy",NULL,0,0,0
"telaprevir","new malignancy",NULL,0,0,0
"tolvaptan","new malignancy",0.978080776987,0.978080776987,0,0
"topiramate","new malignancy",0.319248294482,0.319248294482,0,0
"valproate","new malignancy",0.373181914156,0.373181914156,0,0
"varenicline","new malignancy",2.62284919871,2.62284919871,1,0
"zoledronic acid","new malignancy",5.5964043602,5.5964043602,1,1
"ibuprofen","new malignancy",0.253114882626,0.253114882626,0,0
"acetaminophen","new malignancy",0.31882896063,0.31882896063,0,0
"aspirin","new malignancy",0.418288453191,0.418288453191,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","prostate cancer",NULL,0,0,0
"5-alpha reductase inhibitors","prostate cancer",33.0366282979,33.0366282979,1,1
"Abacavir","prostate cancer",NULL,0,0,0
"aliskiren","prostate cancer",NULL,0,0,0
"Antipsychotics","prostate cancer",0.0501125682508,0.0501125682508,0,0
"asenapine","prostate cancer",NULL,0,0,0
"Azithromycin","prostate cancer",NULL,0,0,0
"benzocaine","prostate cancer",NULL,0,0,0
"bisphosphonates","prostate cancer",10.3695284309,10.3695284309,1,0
"boceprevir","prostate cancer",NULL,0,0,0
"brentuximab","prostate cancer",NULL,0,0,0
"citalopram","prostate cancer",0.147360517146,0.147360517146,0,0
"dabigatran","prostate cancer",1.13149547005,1.13149547005,1,0
"dalfampridine","prostate cancer",NULL,0,0,0
"dasatinib","prostate cancer",2.61221236457,2.61221236457,1,0
"dronedarone","prostate cancer",1.3936857351,1.3936857351,1,0
"Drospirenone","prostate cancer",NULL,0,0,0
"fluconazole","prostate cancer",0.27450276209,0.27450276209,0,0
"ipilimumab","prostate cancer",10.9931242247,10.9931242247,1,0
"lenalidomide","prostate cancer",2.46417979074,2.46417979074,1,0
"linezolid","prostate cancer",NULL,0,0,0
"Liquid Acetaminophen","prostate cancer",NULL,0,0,0
"liraglutide","prostate cancer",NULL,0,0,0
"ondansetron","prostate cancer",NULL,0,0,0
"peginesatide","prostate cancer",NULL,0,0,0
"pramipexole","prostate cancer",NULL,0,0,0
"Proton Pump Inhibitors","prostate cancer",0.278586598106,0.278586598106,0,0
"rosiglitazone","prostate cancer",0.796830597047,0.796830597047,0,0
"Selective Serotonin Reuptake Inhibitor","prostate cancer",0.220966877267,0.220966877267,0,0
"sodium oxybate","prostate cancer",NULL,0,0,0
"telaprevir","prostate cancer",NULL,0,0,0
"tolvaptan","prostate cancer",NULL,0,0,0
"topiramate","prostate cancer",NULL,0,0,0
"valproate","prostate cancer",NULL,0,0,0
"varenicline","prostate cancer",NULL,0,0,0
"zoledronic acid","prostate cancer",26.5117555465,26.5117555465,1,0
"ibuprofen","prostate cancer",0.530707496243,0.530707496243,0,0
"acetaminophen","prostate cancer",0.176709095527,0.176709095527,0,0
"aspirin","prostate cancer",0.420404756351,0.420404756351,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","thyroid tumor",5.31064061254,5.31064061254,1,1
"5-alpha reductase inhibitors","thyroid tumor",NULL,0,0,0
"Abacavir","thyroid tumor",NULL,0,0,0
"aliskiren","thyroid tumor",NULL,0,0,0
"Antipsychotics","thyroid tumor",0.256174655707,0.256174655707,0,0
"asenapine","thyroid tumor",NULL,0,0,0
"Azithromycin","thyroid tumor",NULL,0,0,0
"benzocaine","thyroid tumor",NULL,0,0,0
"bisphosphonates","thyroid tumor",0.763929485183,0.763929485183,0,0
"boceprevir","thyroid tumor",NULL,0,0,0
"brentuximab","thyroid tumor",NULL,0,0,0
"citalopram","thyroid tumor",NULL,0,0,0
"dabigatran","thyroid tumor",0.968845684122,0.968845684122,0,0
"dalfampridine","thyroid tumor",NULL,0,0,0
"dasatinib","thyroid tumor",NULL,0,0,0
"dronedarone","thyroid tumor",NULL,0,0,0
"Drospirenone","thyroid tumor",NULL,0,0,0
"fluconazole","thyroid tumor",NULL,0,0,0
"ipilimumab","thyroid tumor",11.3856142253,11.3856142253,1,0
"lenalidomide","thyroid tumor",3.67602815775,3.67602815775,1,0
"linezolid","thyroid tumor",NULL,0,0,0
"Liquid Acetaminophen","thyroid tumor",NULL,0,0,0
"liraglutide","thyroid tumor",16.1268929091,16.1268929091,1,1
"ondansetron","thyroid tumor",0.280848806661,0.280848806661,0,0
"peginesatide","thyroid tumor",NULL,0,0,0
"pramipexole","thyroid tumor",NULL,0,0,0
"Proton Pump Inhibitors","thyroid tumor",0.418192450502,0.418192450502,0,0
"rosiglitazone","thyroid tumor",0.526616207117,0.526616207117,0,0
"Selective Serotonin Reuptake Inhibitor","thyroid tumor",0.0434999594046,0.0434999594046,0,0
"sodium oxybate","thyroid tumor",NULL,0,0,0
"telaprevir","thyroid tumor",NULL,0,0,0
"tolvaptan","thyroid tumor",NULL,0,0,0
"topiramate","thyroid tumor",NULL,0,0,0
"valproate","thyroid tumor",NULL,0,0,0
"varenicline","thyroid tumor",NULL,0,0,0
"zoledronic acid","thyroid tumor",0.986644312017,0.986644312017,0,0
"ibuprofen","thyroid tumor",NULL,0,0,0
"acetaminophen","thyroid tumor",NULL,0,0,0
"aspirin","thyroid tumor",0.0647767855583,0.0647767855583,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","Cardiovascular Adverse Events",7.9532015891,7.9532015891,1,0
"5-alpha reductase inhibitors","Cardiovascular Adverse Events",0.857327377922,0.857327377922,0,0
"Abacavir","Cardiovascular Adverse Events",3.82398325408,3.82398325408,1,1
"aliskiren","Cardiovascular Adverse Events",16.8366021945,16.8366021945,1,0
"Antipsychotics","Cardiovascular Adverse Events",0.481251823015,0.481251823015,0,1
"asenapine","Cardiovascular Adverse Events",3.1065240441,3.1065240441,1,0
"Azithromycin","Cardiovascular Adverse Events",0.594135505589,0.594135505589,0,0
"benzocaine","Cardiovascular Adverse Events",NULL,0,0,0
"bisphosphonates","Cardiovascular Adverse Events",0.668727984177,0.668727984177,0,0
"boceprevir","Cardiovascular Adverse Events",4.25439120155,4.25439120155,1,0
"brentuximab","Cardiovascular Adverse Events",NULL,0,0,0
"citalopram","Cardiovascular Adverse Events",0.345356818025,0.345356818025,0,0
"dabigatran","Cardiovascular Adverse Events",4.61490212864,4.61490212864,1,0
"dalfampridine","Cardiovascular Adverse Events",9.9703611457,9.9703611457,1,0
"dasatinib","Cardiovascular Adverse Events",1.08510945885,1.08510945885,1,1
"dronedarone","Cardiovascular Adverse Events",25.3856792015,25.3856792015,1,1
"Drospirenone","Cardiovascular Adverse Events",6.06256921373,6.06256921373,1,0
"fluconazole","Cardiovascular Adverse Events",1.58633010376,1.58633010376,1,0
"ipilimumab","Cardiovascular Adverse Events",NULL,0,0,0
"lenalidomide","Cardiovascular Adverse Events",0.803245309195,0.803245309195,0,0
"linezolid","Cardiovascular Adverse Events",NULL,0,0,0
"Liquid Acetaminophen","Cardiovascular Adverse Events",NULL,0,0,0
"liraglutide","Cardiovascular Adverse Events",10.0032360662,10.0032360662,1,0
"ondansetron","Cardiovascular Adverse Events",0.678155085362,0.678155085362,0,0
"peginesatide","Cardiovascular Adverse Events",42.2948173108,42.2948173108,1,1
"pramipexole","Cardiovascular Adverse Events",1.11812089994,1.11812089994,1,0
"Proton Pump Inhibitors","Cardiovascular Adverse Events",8.48705766307,8.48705766307,1,0
"rosiglitazone","Cardiovascular Adverse Events",13.2601729206,13.2601729206,1,1
"Selective Serotonin Reuptake Inhibitor","Cardiovascular Adverse Events",0.76928231215,0.76928231215,0,0
"sodium oxybate","Cardiovascular Adverse Events",1.20002722627,1.20002722627,1,0
"telaprevir","Cardiovascular Adverse Events",2.4595699134,2.4595699134,1,0
"tolvaptan","Cardiovascular Adverse Events",7.95632409131,7.95632409131,1,0
"topiramate","Cardiovascular Adverse Events",0.599944838412,0.599944838412,0,0
"valproate","Cardiovascular Adverse Events",0.26505595934,0.26505595934,0,0
"varenicline","Cardiovascular Adverse Events",5.64864586009,5.64864586009,1,1
"zoledronic acid","Cardiovascular Adverse Events",0.976490049118,0.976490049118,0,0
"ibuprofen","Cardiovascular Adverse Events",3.64013790532,3.64013790532,1,1
"acetaminophen","Cardiovascular Adverse Events",0.637236029142,0.637236029142,0,0
"aspirin","Cardiovascular Adverse Events",9.10001139998,9.10001139998,1,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","heart attack",1.42193356661,1.42193356661,1,0
"5-alpha reductase inhibitors","heart attack",0.48187302723,0.48187302723,0,0
"Abacavir","heart attack",4.00899385869,4.00899385869,1,1
"aliskiren","heart attack",3.53221321485,3.53221321485,1,0
"Antipsychotics","heart attack",0.209203738296,0.209203738296,0,1
"asenapine","heart attack",NULL,0,0,0
"Azithromycin","heart attack",0.494093607396,0.494093607396,0,0
"benzocaine","heart attack",0.200533892403,0.200533892403,0,0
"bisphosphonates","heart attack",0.247097323105,0.247097323105,0,0
"boceprevir","heart attack",NULL,0,0,0
"brentuximab","heart attack",NULL,0,0,0
"citalopram","heart attack",0.548282625545,0.548282625545,0,0
"dabigatran","heart attack",4.55536632155,4.55536632155,1,0
"dalfampridine","heart attack",0.443999770783,0.443999770783,0,0
"dasatinib","heart attack",NULL,0,0,1
"dronedarone","heart attack",3.46203679336,3.46203679336,1,1
"Drospirenone","heart attack",2.79428718828,2.79428718828,1,0
"fluconazole","heart attack",0.140624823665,0.140624823665,0,0
"ipilimumab","heart attack",NULL,0,0,0
"lenalidomide","heart attack",0.239080556021,0.239080556021,0,0
"linezolid","heart attack",NULL,0,0,0
"Liquid Acetaminophen","heart attack",NULL,0,0,0
"liraglutide","heart attack",1.25515632341,1.25515632341,1,0
"ondansetron","heart attack",0.344004087486,0.344004087486,0,0
"peginesatide","heart attack",9.30656352711,9.30656352711,1,1
"pramipexole","heart attack",NULL,0,0,0
"Proton Pump Inhibitors","heart attack",2.24336233639,2.24336233639,1,0
"rosiglitazone","heart attack",9.05149364931,9.05149364931,1,1
"Selective Serotonin Reuptake Inhibitor","heart attack",0.430641965932,0.430641965932,0,0
"sodium oxybate","heart attack",0.309696999178,0.309696999178,0,0
"telaprevir","heart attack",NULL,0,0,0
"tolvaptan","heart attack",37.6113378528,37.6113378528,1,0
"topiramate","heart attack",NULL,0,0,0
"valproate","heart attack",0.0685722546424,0.0685722546424,0,0
"varenicline","heart attack",1.6874957469,1.6874957469,1,1
"zoledronic acid","heart attack",0.355322252819,0.355322252819,0,0
"ibuprofen","heart attack",1.96773627924,1.96773627924,1,1
"acetaminophen","heart attack",0.292362498304,0.292362498304,0,0
"aspirin","heart attack",7.60723933939,7.60723933939,1,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","heart failure",1.14068830196,1.14068830196,1,0
"5-alpha reductase inhibitors","heart failure",0.336725549783,0.336725549783,0,0
"Abacavir","heart failure",0.347546831384,0.347546831384,0,0
